Unnamed: 0,title,image,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
546,"2 bedroom bedrooms apartment for rent  |  Sokolo, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/3a465d04a4ecec43ed64e97f06fddb8d.jpg,https://digitalrenter.com/en/apartment/Sokolo/Limbe/apartment-to-let-2894?locale=en,Apartment,2.0,1.0,Sokolo, Limbe,100000.0,per month,100,11
547,"1 bedroom for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/f59d31feb0caba45b86188dcaeb07a0e.jpg,https://digitalrenter.com/en/studio/Mile%204/Limbe/studio-to-let-2893?locale=en,Studio,1.0,1.0,Mile 4, Limbe,60000.0,per month,60,8
548,"1 bedroom toguest house to let  |  Bokwango, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/5e697a1c78fe202b7107b37f0762adb0.JPEG,https://digitalrenter.com/en/guest%20house/Bokwango/Buea/guest-house-to-let-2889?locale=en,Guest house,1.0,1.0,Bokwango, Buea,25000.0,As from,25,6
549,"1 bedroom room for rent  |  Ngeme, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/7a686650335b65be809b365bfb56b4c4.JPEG,https://digitalrenter.com/en/single%20room/Ngeme/Limbe/single-room-to-let-2888?locale=en,Single Room,1.0,1.0,Ngeme, Limbe,35000.0,per month,35,7
550,"1 bedroom for rent  |  Mile 2,St David's Entrance , Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/a6852408dc08439a79ed511641868915.JPEG,"https://digitalrenter.com/en/studio/Mile%202,St%20David%27s%20Entrance%20/Limbe/studio-to-let-2887?locale=en",Studio,1.0,1.0,Mile 2,St David's Entrance ,55000.0,per month,55,9
551,"1 bedroom for rent  |  Bulu, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/edd66e4a90efb3abc023a40f485bd4c1.JPEG,https://digitalrenter.com/en/studio/Bulu/Buea/studio-to-let-2886?locale=en,Studio,1.0,1.0,Bulu, Buea,50000.0,per month,50,1
552,"1 bedroom for rent  |  Bulu, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ba9b7d12d5ef62fd4cb289ac48224b41.JPEG,https://digitalrenter.com/en/studio/Bulu/Buea/studio-to-let-2885?locale=en,Studio,1.0,1.0,Bulu, Buea,50000.0,per week,50,2
553,"1 bedroom for rent  |  Ndongo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/49fa8dcf30ade920e66bf7c261bf8dfc.jpg,https://digitalrenter.com/en/studio/Ndongo/Buea/studio-to-let-2884?locale=en,Studio,1.0,1.0,Ndongo, Buea,40000.0,per month,40,6
554,"2 bedroom bedrooms apartment for rent  |  Behind GHS Limbe, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/51838fba2c04717d0a4e4d5c7d028651.JPEG,https://digitalrenter.com/en/apartment/Behind%20GHS%20Limbe/Limbe/apartment-to-let-2883?locale=en,Apartment,2.0,2.0,Behind GHS Limbe, Limbe,85000.0,per month,85,7
555,"1 bedroom for rent  |  Ndongo, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/fdefa2f813f0619ffd6d8bcf9dfaef3d.JPEG,https://digitalrenter.com/en/studio/Ndongo/Buea/studio-to-let-2881?locale=en,Studio,1.0,1.0,Ndongo, Buea,60000.0,per month,60,3
556,"2 bedroom bedrooms apartment for rent  |  Molyko, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ad7e330fa697e7bf5313766d23f084ac.JPEG,https://digitalrenter.com/en/apartment/Molyko/Buea/apartment-to-let-2880?locale=en,Apartment,2.0,2.0,Molyko, Buea,130000.0,per month,130,5
557,"4 bedroom bedrooms apartment for rent  |  Bakweri Town, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/bed905a9274bc88d452345ec3bb78984.JPEG,https://digitalrenter.com/en/apartment/Bakweri%20Town/Buea/apartment-to-let-2879?locale=en,Apartment,4.0,3.0,Bakweri Town, Buea,300000.0,per month,300,29
558,"1 bedroom for sale  |  Central market , Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d447caef8a5c08e601460bc7029eb98e.jpg,https://digitalrenter.com/en/store/Central%20market%20/Buea/store-for-sale-2875?locale=en,Guest house,1.0,1.0,Central market , Buea,600000.0,per month,600,1
559,"1 bedroom for sale  |  Central market , Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/ad50c57a7840107bfac60d55ae8e45ee.jpg,https://digitalrenter.com/en/store/Central%20market%20/Buea/store-for-sale-2874?locale=en,Guest house,1.0,1.0,Central market , Buea,300000.0,per month,300,1
560,"2 bedroom bedrooms apartment for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/d029a5300c68d00a11dd4d5a2dea51e2.JPEG,https://digitalrenter.com/en/apartment/Bonduma/Buea/apartment-to-let-2873?locale=en,Apartment,2.0,1.0,Bonduma, Buea,80000.0,per month,80,5
561,"2 bedroom bedrooms apartment for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.s3.us-east-1.amazonaws.com/listings/264dd4c8b6334d88c48867957d728775.jpg,https://digitalrenter.com/en/apartment/Mile%204/Limbe/apartment-to-let-2872?locale=en,Apartment,2.0,2.0,Mile 4, Limbe,70000.0,per month,70,8
