id,query,listing,title,link,listing_type,bedroom,bathrooms,location,town,price,pricepermonth,views,reactions
41,guest house in  Limbe Mokundange,4,"1 bedroom tomega guest house  |  Mokundange, Limbe, Cameroon",https://digitalrenter.com/en/guest%20house/Mokundange/Limbe/mega-guest-house-384?locale=en,Guest house,1.0,1.0,Mokundange, Limbe,3164794.4680851065,per month,0,17
42,1 bedroom house in Mokundange Limbe,4,"1 bedroom tomega guest house  |  Mokundange, Limbe, Cameroon",https://digitalrenter.com/en/guest%20house/Mokundange/Limbe/mega-guest-house-384?locale=en,Guest house,1.0,1.0,Mokundange, Limbe,3164794.4680851065,per month,0,17
43,guest house in  Douala Bonamousadi,36,"4 bedroom bedrooms duplex for sale  |  Bonamousadi, Douala, Cameroon",https://digitalrenter.com/en/duplex/Bonamousadi/Douala/duplex-for-sale-3929?locale=en,Guest house,4.0,3.0,Bonamousadi, Douala,65000000.0,per month,65,12
44,family houses in mile 2  Busumbu,18,"1 bedroom for rent  |  Busumbu,mile 2 , Limbe, Cameroon","https://digitalrenter.com/en/studio/Busumbu,mile%202%20/Limbe/studio-to-let-3969?locale=en",Studio,1.0,1.0,Busumbu,mile 2 ,75000.0,per month,75,6
45,1 bedroom house in Green city Limbe,14,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3973?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
46,1 bedroom house in Green city Limbe,19,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3964?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
47,1 bedroom house in Mile 17 Buea,3,"1 bedroom toguest house to let   |  Mile 17, Buea, Cameroon",https://digitalrenter.com/en/guest%20house/Mile%2017/Buea/guest-house-to-let-1701?locale=en,Guest house,1.0,1.0,Mile 17, Buea,25000.0,As from,25,20
48,student rooms in Mile 4  Limbe,13,"1 bedroom room for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%204/Limbe/single-room-to-let-3974?locale=en,Single Room,1.0,1.0,Mile 4, Limbe,30000.0,per month,30,6
49,1 bedroom house in Beside GHS Limbe Limbe,28,"1 bedroom for rent  |  Beside GHS Limbe, Limbe, Cameroon",https://digitalrenter.com/en/studio/Beside%20GHS%20Limbe/Limbe/studio-to-let-3941?locale=en,Studio,1.0,1.0,Beside GHS Limbe, Limbe,60000.0,per month,60,4
50,1 bedroom house in Bonduma Buea,1,"1 bedroom for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3309?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,4
51,1 bedroom house in Bonduma Buea,42,"1 bedroom bedroom studio for rent  |  Bonduma, Buea, Cameroon",https://digitalrenter.com/en/studio/Bonduma/Buea/studio-to-let-3914?locale=en,Studio,1.0,1.0,Bonduma, Buea,50000.0,per month,50,5
52,student rooms in Great soppo  Buea,25,"1 bedroom room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=fr,Single Room,1.0,1.0,Great soppo, Buea,35000.0,per month,35,8
53,1 bedroom house in Opposite GHS LIMBE Limbe,33,"1 bedroom for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3932?locale=en,Apartment,1.0,1.0,Opposite GHS LIMBE, Limbe,100000.0,per month,100,6
54,2 bedroom house in Behind GHS  Limbe,44,"2 bedroom bedrooms apartment for rent  |  Behind GHS , Limbe, Cameroon",https://digitalrenter.com/en/apartment/Behind%20GHS%20/Limbe/apartment-to-let-3911?locale=en,Apartment,2.0,1.0,Behind GHS , Limbe,70000.0,per month,70,5
55,1 bedroom house in Great soppo Buea,25,"1 bedroom room for rent  |  Great soppo, Buea, Cameroon",https://digitalrenter.com/en/single%20room/Great%20soppo/Buea/single-room-to-let-3951?locale=fr,Single Room,1.0,1.0,Great soppo, Buea,35000.0,per month,35,8
56,1 bedroom house in Efoulan  Yaounde,20,"1 bedroom toguest house for sale   |  Efoulan , Yaounde, Cameroon",https://digitalrenter.com/en/guest%20house/Efoulan%20/Yaounde/guest-house-for-sale-3962?locale=en,Guest house,1.0,1.0,Efoulan , Yaounde,80000000.0,As from,80,10
57,affordable houses in  Limbe Green city,14,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3973?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
58,affordable houses in  Limbe Green city,19,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3964?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
59,1 bedroom house in Mile 2 Limbe,26,"1 bedroom room for rent  |  Mile 2, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202/Limbe/single-room-to-let-3944?locale=en,Single Room,1.0,1.0,Mile 2, Limbe,35000.0,per month,35,4
60,apartment in  Limbe Opposite GHS LIMBE,32,"2 bedroom bedrooms apartment for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3933?locale=en,Apartment,2.0,2.0,Opposite GHS LIMBE, Limbe,80000.0,per month,80,8
61,apartment in  Limbe Opposite GHS LIMBE,33,"1 bedroom for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3932?locale=en,Apartment,1.0,1.0,Opposite GHS LIMBE, Limbe,100000.0,per month,100,6
62,apartment in  Limbe Opposite GHS LIMBE,35,"3 bedroom bedrooms apartment for rent  |  Opposite GHS LIMBE, Limbe, Cameroon",https://digitalrenter.com/en/apartment/Opposite%20GHS%20LIMBE/Limbe/apartment-to-let-3930?locale=en,Apartment,3.0,4.0,Opposite GHS LIMBE, Limbe,130000.0,per month,130,8
63,cheap house in  Limbe,12,"1 bedroom room for rent  |  After GHS Limbe , Limbe, Cameroon",https://digitalrenter.com/en/single%20room/After%20GHS%20Limbe%20/Limbe/single-room-to-let-3975?locale=en,Single Room,1.0,1.0,After GHS Limbe , Limbe,50000.0,per month,50,6
64,cheap house in  Limbe,13,"1 bedroom room for rent  |  Mile 4, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%204/Limbe/single-room-to-let-3974?locale=en,Single Room,1.0,1.0,Mile 4, Limbe,30000.0,per month,30,6
65,cheap house in  Limbe,14,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3973?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
66,cheap house in  Limbe,16,"1 bedroom room for rent  |  Karata, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Karata/Limbe/single-room-to-let-3971?locale=en,Single Room,1.0,1.0,Karata, Limbe,45000.0,per month,45,4
67,cheap house in  Limbe,19,"1 bedroom room for rent  |  Green city, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Green%20city/Limbe/single-room-to-let-3964?locale=en,Single Room,1.0,1.0,Green city, Limbe,30000.0,per month,30,4
68,cheap house in  Limbe,22,"1 bedroom room for rent  |  Ngeme, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Ngeme/Limbe/single-room-to-let-3959?locale=en,Single Room,1.0,1.0,Ngeme, Limbe,35000.0,per month,35,5
69,cheap house in  Limbe,26,"1 bedroom room for rent  |  Mile 2, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202/Limbe/single-room-to-let-3944?locale=en,Single Room,1.0,1.0,Mile 2, Limbe,35000.0,per month,35,4
70,cheap house in  Limbe,29,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3940?locale=fr,Single Room,1.0,1.0,Mile 2 GHS, Limbe,40000.0,per month,40,5
71,cheap house in  Limbe,30,"1 bedroom room for rent  |  Mile 2 GHS, Limbe, Cameroon",https://digitalrenter.com/en/single%20room/Mile%202%20GHS/Limbe/single-room-to-let-3936?locale=fr,Single Room,1.0,1.0,Mile 2 GHS, Limbe,35000.0,per month,35,5
72,houses in  Bamenda,6,"1 bedroom for sale  |  Mile three , Bamenda, Cameroon",https://digitalrenter.com/en/duplex/Mile%20three%20/Bamenda/duplex-for-sale-3994?locale=en,Guest house,1.0,1.0,Mile three , Bamenda,150.0,per month,150,1
